max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
0,0.11350,0.02780722,3,32,1,2,3,3,110,0.981658,0.0076834,0.469062,0.04294,185,156400
1,0.11351,0.06980302,3,62,1,2,5,3,136,0.847706,0.0058222000000000005,0.031938,0.07102,196,22801
2,0.11352,0.04340566,1,73,0,2,5,5,133,0.9924219999999999,0.008792200000000002,0.257486,0.06274,128,76401
3,0.11353,0.02820718,5,50,0,3,3,3,107,0.8154140000000001,0.0040006,0.29541,0.09838,156,64401
4,0.27434,0.01060894,3,107,1,4,3,3,20,0.9960100000000001,0.0008722000000000002,0.191618,0.08434,132,83601
5,0.13555,0.08140186,4,27,0,4,5,7,181,0.917074,0.0037630000000000003,0.177646,0.07534,91,130800
6,0.25576,0.0050095,2,56,1,3,3,3,93,0.746046,0.0011098,0.479042,0.02242,80,90801
7,0.11357,0.04020598,5,99,0,3,5,7,51,0.833354,0.0054262,0.21956199999999998,0.0613,189,41201
8,0.11358,0.0970003,5,83,1,2,3,3,108,0.75083,0.009505,0.457086,0.0523,96,40401
9,0.11359,0.02860714,5,16,1,3,4,5,155,0.754418,0.0082774,0.171658,0.027460000000000002,134,53201
10,0.113510,0.0210079,2,73,0,2,4,7,157,0.795082,0.0008326000000000001,0.19560999999999998,0.0595,117,30801
11,0.113511,0.09860014,4,52,0,3,4,7,154,0.805846,0.0002386,0.10579000000000001,0.01882,159,176400
12,0.113512,0.09220078,5,100,1,2,3,3,116,0.778338,0.001387,0.493014,0.09874,85,141200
13,0.136313,0.08260174,4,35,0,4,2,3,63,0.962522,0.0021394,0.293414,0.08217999999999999,196,183600
14,0.113514,0.02940706,3,91,0,2,2,3,71,0.728106,0.0019018000000000001,0.183634,0.08902,197,80401
15,0.113515,0.04260574,4,111,1,4,5,5,117,0.755614,0.0025353999999999997,0.391218,0.0811,99,78001
16,0.113516,0.09140086,5,127,0,2,5,5,81,0.8010619999999999,0.006455800000000001,0.179642,0.06022,173,171600
17,0.113517,0.08540146,2,6,0,2,2,7,124,0.7017939999999999,0.005347,0.427146,0.05014,172,146000
18,0.113518,0.07180282,4,65,0,2,3,7,37,0.736478,0.004357,0.28942199999999996,0.03826,188,11601
19,0.295619,0.03260674,4,75,1,4,2,7,148,0.991226,0.0091882,0.027946,0.06526,84,107600
20,0.113520,0.043005699999999994,4,44,0,3,4,5,51,0.8213940000000001,0.004079800000000001,0.369262,0.0415,148,24401
21,0.113521,0.00180982,2,114,0,3,3,5,54,0.9457780000000001,0.0022978,0.38523,0.06598,135,126800
22,0.113522,0.05020498,1,72,0,3,4,3,175,0.7328899999999999,0.0083962,0.11577,0.059860000000000003,114,10801
23,0.113523,0.06340366,1,67,1,2,3,7,50,0.9302299999999999,0.008198200000000001,0.037926,0.0307,199,87601
24,0.113524,0.05340466,4,74,0,2,2,5,42,0.836942,0.0057034,0.333334,0.09333999999999999,172,149200
25,0.113525,0.01180882,2,95,0,3,3,7,64,0.718538,0.007525,0.22555,0.06922,71,189200
26,0.113526,0.06500349999999999,4,76,0,3,4,5,29,0.985246,0.0043966000000000005,0.487026,0.06886,154,28401
27,0.113527,0.02660734,2,95,1,3,4,5,29,0.9075059999999999,0.0072082,0.431138,0.0955,120,184400
28,0.113528,0.01460854,3,13,1,2,3,5,61,0.931426,0.007723000000000001,0.249502,0.08002000000000001,82,138800
29,0.113529,0.03020698,4,60,0,3,3,3,143,0.76877,0.0069310000000000005,0.049901999999999995,0.07282000000000001,198,150000
30,0.176930,0.0830017,5,55,0,3,5,7,109,0.97209,0.007089399999999999,0.143714,0.09946,147,170000
31,0.113531,0.08820118,4,85,1,3,5,5,100,0.88239,0.008752600000000001,0.23752600000000001,0.08578,88,99600
32,0.113532,0.02740726,3,9,1,3,6,7,129,0.9122899999999999,0.0020206,0.45508999999999994,0.08506,135,67601
33,0.113533,0.05780422,3,80,0,4,4,5,195,0.79867,0.0070498,0.489022,0.02062,137,88401
34,0.113534,0.03140686,3,123,1,4,5,5,32,0.752026,0.0030898,0.17565,0.02998,190,129200
35,0.113535,0.06380362,3,38,1,3,5,5,72,0.8225899999999999,0.008237799999999998,0.20559000000000002,0.01522,173,84401
36,0.113536,0.03060694,4,78,1,3,3,3,168,0.787906,0.0017434000000000002,0.31137800000000004,0.07966000000000001,92,93201
37,0.113537,0.02420758,5,4,0,3,4,3,197,0.8309620000000001,0.0007534,0.167666,0.04402,200,158800
38,0.159938,0.01820818,4,25,0,4,5,7,35,0.9577379999999999,0.0050302,0.197606,0.060579999999999995,83,168400
39,0.211939,0.03540646,1,68,0,3,6,3,140,0.903918,0.0068122,0.323354,0.015580000000000002,147,58001
40,0.113540,0.01620838,4,65,1,3,3,3,77,0.73887,0.0066538,0.081838,0.09226000000000001,105,33201
41,0.113541,0.07860214,5,19,1,4,4,5,114,0.7005979999999999,0.009267399999999999,0.079842,0.0145,174,147600
42,0.113542,0.04700530000000001,2,67,1,2,5,5,73,0.7843180000000001,0.009109,0.417166,0.051579999999999994,122,198800
43,0.113543,0.03220678,2,49,0,2,4,7,143,0.881194,0.0060994,0.201598,0.0217,106,97201
44,0.113544,0.0870013,4,68,0,4,3,5,156,0.761594,0.0022186,0.403194,0.056260000000000004,152,14001
45,0.113545,0.05460454,4,105,1,4,3,5,36,0.99003,0.0034858000000000003,0.04591,0.06634,98,112400
46,0.113546,0.03860614,3,116,0,3,5,7,58,0.710166,0.0066142,0.413174,0.08398,149,98001
47,0.113547,0.06660334,4,99,1,2,4,3,162,0.829766,0.0027334,0.343314,0.0793,158,79601
48,0.113548,0.07020298,2,16,1,4,2,5,30,0.8273739999999999,0.007168600000000001,0.173654,0.04042,138,70001
49,0.113549,0.05220478,2,128,1,4,3,7,173,0.842922,0.0049906,0.25549,0.07714,194,89201
50,0.136850,0.09660034,1,42,1,4,5,7,13,0.9254459999999999,0.002575,0.287426,0.02422,108,59601
51,0.113551,0.0850015,1,71,0,3,3,7,12,0.832158,0.0053073999999999994,0.221558,0.053739999999999996,132,199600
52,0.113552,0.09260074,4,15,0,3,4,5,13,0.7580060000000001,0.0016642,0.007986,0.04546,112,19601
53,0.214953,0.05540446,2,32,1,2,2,5,106,0.8166100000000001,0.004871800000000001,0.07585,0.08614,152,10001
54,0.242254,0.00380962,5,106,1,2,2,5,61,0.94219,0.009703,0.283434,0.09766,106,3601
55,0.113555,0.06180382,2,39,1,3,3,5,66,0.8632540000000001,0.0088714,0.307386,0.05122,182,2001
56,0.113556,0.04180582,2,66,0,3,4,3,118,0.734086,0.0089506,0.357286,0.0181,136,94001
57,0.113557,0.05860414,2,111,1,3,4,5,120,0.740066,0.0024562,0.381238,0.052660000000000005,82,77201
58,0.113558,0.02580742,4,17,1,3,4,3,76,0.8704299999999999,0.0097822,0.321358,0.04258,124,187600
59,0.113559,0.013008700000000002,5,77,0,3,6,5,57,0.7795340000000001,0.0001594,0.32535,0.0505,99,162000
60,0.113560,0.0910009,3,125,0,2,5,3,171,0.747242,0.0072873999999999994,0.477046,0.03754,98,172400
61,0.113561,0.07940206,1,30,0,3,5,5,124,0.9433860000000001,0.0007138,0.113774,0.07138,111,20401
62,0.170762,0.04540546,1,57,1,3,5,3,79,0.8453139999999999,0.0030502,0.35529,0.0901,171,121200
63,0.113563,0.02620738,3,9,1,3,5,7,20,0.724518,0.0006346,0.133734,0.08686,187,174000
64,0.113564,0.03420658,3,57,1,2,4,3,185,0.93621,0.0010306,0.099802,0.0559,109,152400
65,0.218465,0.09020098,3,23,1,4,5,3,193,0.933818,0.0093466,0.111778,0.04978,107,166000
66,0.113566,0.04940506,3,56,1,4,3,5,19,0.783122,0.0044758,0.055889999999999995,0.0649,177,114000
67,0.113567,0.03940606,3,8,0,2,5,3,187,0.722126,0.0075646,0.189622,0.09694,157,13201
68,0.113568,0.07420258,4,85,0,4,3,5,43,0.797474,0.009307,0.267466,0.0541,72,191600
69,0.21569,0.07540246,1,59,1,3,4,7,88,0.923054,0.0080794,0.21357399999999999,0.03646,190,401
70,0.253270,0.041005900000000005,4,51,1,3,4,7,102,0.9780700000000001,0.0038421999999999996,0.061877999999999996,0.07858,140,85201
71,0.113571,0.02540746,5,17,1,4,4,3,47,0.8584700000000001,0.0013078,0.021958000000000002,0.047619999999999996,118,78801
72,0.113572,0.05180482,4,79,0,2,3,5,182,0.969698,0.0032482,0.029942,0.01198,187,39601
73,0.113573,0.05060494,5,40,1,3,4,5,90,0.8883700000000001,0.009821799999999999,0.00599,0.09154,151,26801
74,0.320674,0.00260974,4,119,1,3,4,7,92,0.74485,0.0042382,0.043914,0.05517999999999999,102,163600
75,0.113575,0.03780622,5,100,1,3,4,5,163,0.909898,0.0023374000000000003,0.341318,0.06994,104,142000
76,0.113576,0.02060794,4,31,1,4,6,3,147,0.78073,0.000991,0.011978,0.0325,87,17201
77,0.113577,0.01380862,5,93,0,2,4,5,187,0.929034,0.0090694,0.047906,0.05914,134,157200
78,0.113578,0.04060594,3,90,0,2,5,3,80,0.896742,0.003169,0.36127800000000004,0.02818,119,72401
79,0.113579,0.03300669999999999,2,108,1,3,5,5,48,0.717342,0.0034461999999999995,0.443114,0.040780000000000004,180,56401
80,0.326780,0.09820018,5,113,0,3,5,3,191,0.92425,0.0010702,0.015969999999999998,0.01342,96,115600
81,0.132181,0.05380462,3,126,1,4,2,7,172,0.994814,0.0037234,0.083834,0.0253,92,52401
82,0.155482,0.06620338,4,117,1,3,3,3,44,0.951758,0.005386600000000001,0.397206,0.0199,175,126000
83,0.113583,0.07140286,2,122,0,2,3,3,70,0.79269,0.007247800000000001,0.14570999999999998,0.0433,133,37201
84,0.113584,0.09300069999999999,1,36,0,3,5,3,55,0.80465,0.0062578,0.409182,0.08542000000000001,160,5201
85,0.197985,0.07340266,2,29,0,4,4,3,76,0.9601299999999999,0.0063766000000000005,0.359282,0.02386,74,65201
86,0.113586,0.05820418,5,115,0,3,3,3,146,0.8106300000000001,0.003565,0.49700600000000006,0.017740000000000002,185,54801
87,0.113587,0.02140786,1,72,0,3,2,5,134,0.9397979999999999,0.0028522,0.087826,0.09118,174,188400
88,0.113588,0.02260774,3,47,0,4,6,5,82,0.8835860000000001,0.0013474000000000001,0.491018,0.07642,123,180400
89,0.113589,0.08420158,2,112,1,3,3,7,40,0.741262,0.0038025999999999997,0.31537,0.0343,191,62801
90,0.113590,0.01780822,2,121,1,4,5,7,152,0.823786,0.0039214,0.053894000000000004,0.0703,158,134000
91,0.113591,0.04420558,1,5,0,3,2,5,14,0.742458,0.004515399999999999,0.411178,0.04186,131,50001
92,0.113592,0.07460254,4,18,0,4,4,3,48,0.7376739999999999,0.003367,0.459082,0.044739999999999995,140,49201
93,0.386793,0.09580042,2,89,0,3,3,3,186,0.91827,0.0033274,0.33932199999999996,0.09406,176,137200
94,0.113594,0.03340666,2,81,0,2,4,3,64,0.961326,0.007762600000000001,0.253494,0.0829,117,154800
95,0.113595,0.07060294,2,92,0,2,5,3,137,0.820198,0.0054658,0.279442,0.0937,81,6001
96,0.113596,0.01660834,3,103,1,2,5,3,92,0.914682,0.004594600000000001,0.277446,0.08722,184,119600
97,0.113597,0.09420058,3,94,0,3,5,3,94,0.777142,0.0068518,0.101798,0.01018,177,136400
98,0.113598,0.08580142,4,63,0,2,3,7,68,0.790298,0.0095446,0.11776600000000001,0.07246,110,26001
99,0.113599,0.01540846,5,6,0,3,6,3,84,0.785514,0.008515,0.379242,0.03142,90,158000
100,0.1135100,0.05260474,3,22,1,3,5,3,135,0.731694,0.0032878,0.387226,0.06382,141,86001
101,0.1828101,0.04780522,4,54,1,3,2,7,125,0.9732860000000001,0.0046342,0.331338,0.03862,95,102800
102,0.1136102,0.06420358,4,106,1,4,6,7,23,0.8680379999999999,0.005624199999999999,0.141718,0.03682,84,169200
103,0.1135103,0.08860114,3,118,1,2,3,7,175,0.9493659999999999,0.0028125999999999997,0.251498,0.062020000000000006,116,92401
104,0.1135104,0.08940106,3,102,1,2,3,3,17,0.730498,0.0032086,0.223554,0.03178,169,21201
105,0.1364105,0.00820918,2,74,0,3,5,7,159,0.743654,0.0055054,0.12575,0.07497999999999999,149,75601
106,0.1135106,0.05580442,4,48,0,3,4,5,99,0.759202,0.0097426,0.269462,0.09622,87,106000
107,0.1135107,0.09380062,3,20,1,3,4,7,102,0.7891020000000001,0.0084754,0.15569000000000002,0.025660000000000002,75,186000
108,0.1135108,0.0170083,4,19,0,4,6,5,142,0.7639859999999999,0.0002782,0.013974,0.07066,109,139600
109,0.1135109,0.07220278,2,70,0,3,3,3,153,0.841726,0.008119,0.303394,0.01378,116,1201
110,0.1619110,0.09620038,3,11,0,3,5,7,177,0.926642,0.0044361999999999995,0.017966,0.02926,100,68401
111,0.1135111,0.09980002,4,40,1,2,5,3,38,0.767574,0.005663800000000001,0.227546,0.0991,164,170800
112,0.1135112,0.05660434,2,101,1,2,5,3,16,0.7209300000000001,0.0017829999999999999,0.019962,0.02026,76,114800
113,0.1175113,0.08780122,2,102,0,3,4,3,159,0.884782,0.0024958000000000003,0.229542,0.02962,179,186800
114,0.1135114,0.04980502,4,61,0,2,4,3,196,0.77475,0.0062974,0.483034,0.08757999999999999,136,144400
115,0.1135115,0.03620638,5,91,1,2,5,5,86,0.844118,0.0083566,0.42515,0.03106,139,90001
116,0.1941116,0.0090091,5,38,1,2,6,5,184,0.899134,0.006218199999999999,0.423154,0.06777999999999999,183,195600
117,0.1135117,0.08220178,4,77,0,3,6,5,86,0.86445,0.0099406,0.071858,0.0847,133,81201
118,0.1135118,0.00860914,3,96,1,3,5,7,180,0.7962779999999999,0.004951,0.313374,0.0973,70,16401
119,0.1366119,0.06820318,3,63,0,3,3,3,145,0.9445819999999999,0.007129000000000001,0.461078,0.0577,137,197200
120,0.1135120,0.01860814,3,119,0,2,4,7,45,0.802258,0.0030106,0.073854,0.03322,89,165200
121,0.1886121,0.0070093,2,53,0,4,6,7,33,0.8596659999999999,0.0006742000000000001,0.47505,0.05482000000000001,163,161200
122,0.1135122,0.00340966,2,94,0,3,3,5,152,0.90033,0.007802199999999999,0.441118,0.01846,168,22001
123,0.1135123,0.00540946,1,41,1,4,5,5,87,0.872822,0.005940999999999999,0.337326,0.08866,150,44401
124,0.1135124,0.0030096999999999997,4,21,0,2,3,5,42,0.890762,0.0036046,0.467066,0.0685,94,108400
